"marketer_name","20121217","20121218","20121219","20121220","20121221","20121222","20121223","20121224","20121225","20121226","20121227","20121228","20121229","20121230","20121231","20130101","20130102","20130103","20130104","20130105","20130106","20130107","20130108","20130109","20130110","20130111","20130112","20130113","20130114"
"Moen ",6.54898204,6.66533342,7.55457641,8.11554408,8.83023293,9.57358094,9.47758765,9.50054238,9.50273694,9.48443728,9.71787983,9.26735005,9.45263175,9.57901062,9.76404013,9.14517394,9.24725456,11.71005547,11.90362825,11.16793581,11.20312637,11.48027648,12.63448159,11.84796812,9.74266607,9.17693217,9.26864783,10.56262661,11.16980086
"MoMa",6.24583749,6.44343165,6.23405417,6.61541948,6.56038148,6.53545082,6.53594418,6.66771836,7.18415039,7.51014316,7.48080076,8.0249341,8.62366592,8.91292961,9.13249241,9.38879437,9.97580994,9.99118015,9.72304122,9.80684924,9.19917478,9.21206623,9.22851881,9.25804061,9.24084746,8.9953154,8.58853554,7.86958649,7.62362311
"Monster",6.70874065,6.53527818,5.95299235,6.03284698,6.24557892,5.94303306,6.13029457,6.40653696,7.6889992,11.07957387,11.09557171,11.52423515,9.80617868,8.68351049,9.75371275,9.26982857,8.72887736,7.78961744,8.98166561,7.95557736,8.2691152,8.58281885,8.40995594,7.80354577,6.62335359,6.43078091,6.14941279,6.01711419,5.53062881
"moo.com",6.09656086,5.87342444,5.63981724,5.91412173,5.68061277,5.70421363,5.76766979,,,,,,,,,,6.53604453,6.22330034,5.95414446,4.97129885,5.76242366,5.36037764,5.41684287,5.86968022,6.53309388,5.87567534,5.95242462,6.57689786,7.07632507
"Nationwide",2.18678015,2.23079568,2.21172575,2.23017831,2.29592655,2.2323766,2.22686703,2.36810212,2.61798067,3.08990621,3.403477,3.5872162,3.81719221,3.79193552,3.39777251,2.87236407,2.48535676,2.38712776,2.28029166,2.33759596,2.29120898,2.27802415,2.26630078,2.18421954,2.19070709,2.16693222,2.28742335,2.10566065,2.05363585
"Neiman Marcus (iProspect)",10.67645649,10.31666185,10.60400592,9.62811578,9.11230884,8.7775254,8.24662228,8.24869877,8.12784962,8.48669639,8.36948684,8.68130118,8.73406388,9.07565457,8.98118212,8.87747216,8.75588848,8.85935971,8.72868408,8.59954446,8.60438433,8.52203177,8.35512831,,,,,,
"New York & Co (360i-Innovation Interactive NY)",4.70192262,4.80675178,4.93756259,5.2489536,5.19998364,5.19746701,5.29865584,5.36129799,5.67884882,5.65057137,5.38386036,5.42715345,5.60262286,5.73066345,5.78123311,5.63528908,5.60838944,5.52448641,5.28550608,5.40847693,5.41549095,5.34873202,5.2044516,5.22522359,5.29274418,,,,
"NY Times Digital ",9.22559382,7.30412145,6.24025852,7.18488248,8.28972647,8.29527352,8.41324783,7.70322749,9.20399586,9.72421084,10.05878633,9.35061058,9.75660487,10.1040213,10.83926725,9.95707002,9.31941833,9.74075928,9.84302936,8.98596162,7.31262712,6.98269373,7.0924325,7.12549558,6.3702286,6.20860367,5.93919049,5.96739638,5.45979294
"Orbitz",2.82458204,3.11395526,3.31641377,3.33538453,3.39972925,3.554337,3.60754026,3.71578743,3.87954625,4.24688486,4.25786392,4.34590151,4.25327076,4.1573986,4.24452722,4.21204094,4.26498662,4.22549507,4.36251875,3.70872811,3.56999999,3.66481279,3.28626283,3.07842314,2.89077361,2.91113533,2.81606824,2.8130994,2.76962657
"Oreck (TruEffect)",8.38429931,8.81749317,8.8964055,8.71283725,8.2265147,8.31589332,7.83110488,7.45777295,7.03441951,5.90476359,7.03645251,6.71132749,6.24897612,5.78922904,5.20224439,5.07209946,5.12556406,5.46826014,4.98486897,5.11715866,4.90354676,4.83388581,4.43064641,4.42428684,4.48000933,4.29070449,4.34908496,4.09269509,4.15140325
"Parsons",9.35745405,11.07166174,9.67306312,8.6337154,8.71197765,10.196249,10.45030377,9.45155977,9.60563735,9.92421991,10.22070634,9.26296661,9.38502471,10.47472286,9.28928754,8.0878094,7.62569509,7.41246428,7.18556741,7.63842052,7.75817583,8.29364239,8.79702873,9.16399343,9.28747082,10.2236485,9.22734697,8.94290112,8.9447756
"Payless ShoeSource",2.40479417,2.43117765,2.53352837,2.50254794,2.42231731,2.48638677,2.55721481,2.59517625,2.72937544,2.898795,3.41258516,3.93991484,4.51613346,5.3799604,6.08149439,5.84289945,,,,,,,,,,,,,
"Penn Foster",,,,,,,,,,,,,,,,,,,,,,,,1.94096314,2.04745526,2.28298847,3.16691084,3.27255199,3.77733301
"Princess Cruises",4.21016698,4.566029,3.9966832,3.91434882,4.21871586,4.72572836,4.98523217,4.28900266,4.22850029,4.03342213,4.1642769,2.75026824,,,,,,,,,,,,,,,,,
"Ray-Ban",3.75004529,3.57318557,3.37080939,3.49532925,3.5571135,3.57749944,3.82314436,3.94360005,4.22740846,4.28860657,4.19231647,3.85411626,3.64608628,3.49399771,3.18635924,3.23394128,3.31994411,3.26364447,3.22653115,3.16452511,3.07491831,3.00359957,2.91629559,,,,,,
"REI",3.78960014,3.52677619,3.42755658,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saks Inc",3.5611644,3.46601666,3.53366912,3.32229707,3.29343883,3.49185544,3.5468919,3.76067899,4.05444647,4.37016789,4.43116187,4.71547349,4.79408264,4.8239879,4.76547934,4.79976888,4.85368606,4.98903858,5.101759,5.17297186,5.07967273,5.30180687,5.28425074,5.40209301,5.48272256,5.81906289,6.11949397,5.98298523,6.33674713
"Salvation Army ",1.27097251,1.33074132,1.47389385,1.46916547,1.29432905,1.21430184,1.23405431,1.22565125,1.2252517,1.19279476,1.18824794,1.13261668,1.11727558,1.08235057,1.06450473,1.07902892,1.07902892,1.07902892,1.07902892,1.07902892,1.07902892,1.07902892,,,,,,,
"Serena and Lily",22.17660535,20.57376645,20.16672777,21.27394911,22.75211812,23.71594102,18.32541519,18.93103697,19.44510023,19.92835361,19.30040893,20.28096912,21.39867254,22.49236103,23.72657757,24.61170409,24.3656032,25.79307861,25.00663387,23.95894536,23.07592226,24.59829823,34.9347643,,,,,,
"Siemens Corporation",6.45658886,7.99183472,7.90179563,6.98230814,7.14884868,7.1249444,7.2143041,7.44442888,7.42829948,7.23179891,7.50116952,7.79895435,8.43975998,9.42222159,9.13590297,,,,,,,,,,,,,,
"Sleepys",2.25663314,2.19246725,2.22928671,2.28100994,2.10584363,2.14166022,2.41704005,2.40292271,2.81528689,3.1935681,3.41717524,4.10920149,4.27344896,4.53256566,4.50746671,4.64914611,4.64621105,4.05078948,4.11695187,4.19583089,4.25775227,4.23149628,4.21718511,4.19362739,4.02902379,3.84030384,3.74859003,3.7128899,3.69456521
"Sperry Topsider",6.5836269,6.67902685,6.5544659,6.77127715,6.58739628,6.8736955,6.79846325,6.41630265,6.72915232,6.79847494,6.87227464,6.98261183,6.73061206,6.74089292,6.77172297,6.78033805,6.79704515,6.61217358,6.37016149,6.13733302,6.32903442,6.29327995,6.52132849,7.04554181,6.67160717,6.71927548,6.58992366,6.70080298,6.58394817
"Starwood Le Meridien",11.34416926,11.78633716,10.65199488,14.47189397,12.35566688,12.40191876,12.24606528,10.65096887,10.38162137,11.66181457,,,,,,,,,,,,,,,,,,,
"Starwood Sheraton Hotel",3.38344402,3.50628112,3.47178639,3.43000215,3.43417998,3.31366552,3.41596712,3.46623779,3.3841899,3.55921047,4.4205574,4.29501515,4.7308024,4.59644221,4.58705875,4.6671252,4.49791898,4.99030447,4.42478882,5.69813189,5.67886715,5.08594637,4.87462475,4.59719225,4.70390002,4.55616044,4.61681841,4.63819234,5.11353828
"Strayer University",5.02121882,5.10399615,5.58657952,6.02043926,5.94967493,5.9588117,5.45371699,5.8679736,5.92414357,6.23082341,6.30611838,6.38883155,6.40080289,6.61049301,6.44319346,6.09936093,6.42907584,6.34012204,6.34374698,6.40406933,6.52869475,6.32972223,5.81091925,6.08880194,6.94293972,6.70808319,6.72228352,7.34549953,6.89831017
"SubZero Freezer Company",11.64802996,13.32518724,13.37143251,13.40375432,13.23914296,12.01566211,12.25469431,11.22458704,11.47151685,11.4576256,10.59000687,9.96764343,10.00838214,10.2673375,10.53710188,10.72561414,10.19562022,9.94714375,11.59363249,11.29266367,11.01223122,10.79845718,10.40122897,,,,,,
"T Rowe Price",3.28628345,3.72997033,3.60057514,3.68439058,3.94116427,3.78495744,3.99760701,4.1679203,4.03125173,3.87823841,3.46604807,3.7150048,3.75974587,3.95427336,3.88021736,3.63985426,3.64969376,3.639335,3.77526121,3.7010778,3.7740107,3.89548451,3.9604536,,,,,,
"Teleflora",6.10542783,5.5865518,5.28892537,5.3410265,5.20997599,5.16790778,5.0905784,5.02155621,5.07276166,5.04209922,5.00602959,5.85573268,6.09498675,6.51829349,7.04103542,7.53730027,7.93693162,8.7125117,9.4657076,9.96392054,10.78834719,11.17582552,11.22077722,10.93385482,10.97583213,11.80003234,11.52209499,12.33626667,12.74482625
"The Hartford",,,,,,,,,,,,,,,,,,,1.13428891,1.70971648,1.48137454,1.52948731,1.74185981,3.79862834,4.10076917,4.38601124,4.88350653,5.32959367,5.59462804
"Time Warner Cable (OMD NY Accuen)",2.36513878,2.27846902,2.23098064,2.21119915,2.1785684,2.14823031,2.14681819,2.28026311,2.38625691,2.65152388,2.70301401,2.75958848,2.91264967,3.1688838,3.14335374,3.25187809,3.36296388,3.49516163,3.27584278,2.20499013,2.16520794,1.85258504,1.53736716,1.6450556,1.78651179,1.72146076,1.78097723,1.8409697,1.86285097
"Trunk Club",2.33737231,2.4018454,2.42754337,2.43369334,2.52111777,2.57008781,,,,,,,,,,,,,,,,,,,,,,,
"TXU Energy",2.75542368,2.689387,2.74316894,2.69046284,2.75254231,2.77648492,2.79148215,2.86715854,2.901405,3.00333089,3.09224966,3.46752999,3.98807841,3.99216189,4.06436949,4.11685208,4.29833888,4.2505307,4.42063813,4.54232649,4.8150635,4.8997337,4.94954904,4.90946833,5.32484067,5.46021063,5.73458966,5.5104229,5.83775326
"Utah Office of Tourism (Love Communications)",,,,,,,,,,,,,,0.57173533,0.65316842,0.73615337,0.88420587,1.08347019,1.19080304,1.35678332,1.42822576,1.60594832,1.78765107,1.79968583,1.66809167,1.86173544,2.01175273,2.10607346,2.16503391
"Vail Keystone",,,,1.05007331,1.83477611,2.73016416,2.98974936,3.2812751,3.59323645,2.94715557,2.74737042,2.57513142,2.84267947,3.05501753,2.88830171,3.05632335,3.28117519,3.25484618,3.49159088,3.69563969,3.34921791,3.48165286,3.68105037,3.72035102,3.47433923,3.55422601,3.50870275,3.42797308,3.37559659
"Vail Rock-Resorts",1.93106644,1.97894205,2.46289391,2.53463495,2.72399419,2.89396078,3.09162325,3.21285387,3.20551086,3.14189074,3.31695003,3.48411608,3.69901444,3.74607746,3.9819313,4.06581633,,,,4.31695208,4.33675393,3.69131721,4.57819016,,,4.93108994,5.07251404,5.25712996,5.20311997
"Verizon",1.39528279,1.43237322,1.48465448,1.59113984,1.75815258,1.83931029,2.03661185,2.10371185,2.14959911,2.16328185,2.17148654,2.30023721,2.34001606,2.26209027,2.28149025,2.16583327,2.08487256,2.01736304,1.81024643,1.74396239,1.67555524,1.55761012,1.51796935,1.47797535,1.45737762,1.44871104,1.47190588,1.47547583,1.44829869
"Vistaprint",,,,,,,,,,,,,,,,,,,,,,2.38691096,3.2011779,3.12432099,2.9752196,2.88741623,2.54849148,2.5541283,2.61941347
"Walt Disney",2.20141034,2.2119574,2.2029861,2.20033101,2.18258758,2.1963451,2.24482633,2.28839618,2.40347849,2.43466561,2.49275743,2.56868121,2.58902195,2.63380012,2.72761826,2.75139917,2.84089891,2.86721244,2.86502674,2.97180074,3.10143728,3.10739896,3.02571819,2.92061901,2.90061073,2.87313197,2.84714837,2.88272324,2.92526212
"Western Union",,,,,,,,,0.84166975,0.65462763,0.59672982,0.5498155,0.51056505,0.48365629,0.50784766,0.49627892,0.49633552,0.50031749,0.50391164,0.5156574,0.52299033,0.50056281,0.44105496,0.44517091,0.44507197,0.44162539,0.44155519,0.4384524,0.43598834
"Williams Sonoma (iCrossing)",8.19469504,7.97578957,8.24792461,8.32259045,8.40006874,9.47313243,10.73704217,11.70777508,10.98767084,10.92161311,10.94303345,10.77640508,10.75295852,10.90980687,11.80556003,11.14535447,12.81471639,13.74287293,13.08041363,13.60858712,12.98140144,13.09924394,12.78911978,13.6673771,13.39533444,11.90762909,12.93566608,12.81679038,12.7226829
"Zinio (Onlt Digital)",,,1.54987692,2.20380095,2.25831556,2.47287276,2.97689393,3.41805385,3.41125174,3.66898826,3.64019597,4.17923983,4.73305948,4.41419164,4.73094157,5.20117299,5.20117299,5.20117299,5.20117299,5.20117299,5.20117299,5.20117299,5.20117299,,,,,,
